대분류,성별 타겟군,cluster
패션의류,여성 위주,1
화장품/미용,여성 위주,5
패션의류,여성 위주,0
패션잡화,여성 위주,2
생활/건강,성비 균형,4
식품,여성 위주,0
출산/육아,여성 위주,6
여가/생활편의,여성 위주,5
가구/인테리어,여성 위주,1
가구/인테리어,여성 위주,0
디지털/가전,성비 균형,7
스포츠/레저,남성 위주,4
디지털/가전,성비 균형,4
생활/건강,성비 균형,7
여가/생활편의,여성 위주,6
패션의류,여성 위주,3
가구/인테리어,여성 위주,3
식품,여성 위주,3
가구/인테리어,여성 위주,7
도서,여성 위주,6
패션잡화,여성 위주,7
패션잡화,여성 위주,3
여가/생활편의,여성 위주,3
패션의류,여성 위주,7
출산/육아,여성 위주,7
스포츠/레저,여성 위주,3
디지털/가전,성비 균형,3
스포츠/레저,남성 위주,7
출산/육아,여성 위주,3
스포츠/레저,남성 위주,3
화장품/미용,여성 위주,3
생활/건강,성비 균형,3
생활/건강,여성 위주,4
패션잡화,여성 위주,0
식품,여성 위주,2
여가/생활편의,여성 위주,1
여가/생활편의,여성 위주,7
식품,여성 위주,7
생활/건강,남성 위주,4
식품,여성 위주,1
패션의류,남성 위주,1
디지털/가전,남성 위주,7
디지털/가전,여성 위주,7
식품,성비 균형,0
가구/인테리어,성비 균형,1
패션의류,남성 위주,7
디지털/가전,여성 위주,1
스포츠/레저,성비 균형,4
생활/건강,여성 위주,1
스포츠/레저,여성 위주,4
생활/건강,여성 위주,6
생활/건강,여성 위주,3
디지털/가전,여성 위주,3
식품,성비 균형,3
패션잡화,남성 위주,2
생활/건강,남성 위주,7
패션의류,남성 위주,3
패션잡화,성비 균형,2
생활/건강,여성 위주,7
패션의류,남성 위주,4
디지털/가전,남성 위주,4
패션잡화,여성 위주,6
디지털/가전,남성 위주,6
디지털/가전,여성 위주,0
화장품/미용,남성 위주,5
패션잡화,남성 위주,3
가구/인테리어,성비 균형,4
